代码,证券名称
000001.SZ,平安银行
000002.SZ,万科A
000004.SZ,国农科技
000005.SZ,世纪星源
000006.SZ,深振业A
000007.SZ,全新好
000008.SZ,神州高铁
000009.SZ,中国宝安
000010.SZ,*ST美丽
000011.SZ,深物业A
000012.SZ,南玻A
000014.SZ,沙河股份
000016.SZ,深康佳A
000017.SZ,*ST中华A
000019.SZ,深粮控股
000020.SZ,深华发A
000021.SZ,深科技
000023.SZ,深天地A
000025.SZ,特力A
000026.SZ,飞亚达
000027.SZ,深圳能源
000028.SZ,国药一致
000029.SZ,深深房A
000030.SZ,富奥股份
000031.SZ,大悦城
000032.SZ,深桑达A
000034.SZ,神州数码
000035.SZ,中国天楹
000036.SZ,华联控股
000037.SZ,深南电A
000038.SZ,深大通
000039.SZ,中集集团
000040.SZ,东旭蓝天
000042.SZ,中洲控股
000045.SZ,深纺织A
000046.SZ,泛海控股
000048.SZ,京基智农
000049.SZ,德赛电池
000050.SZ,深天马A
000055.SZ,方大集团
000056.SZ,皇庭国际
000058.SZ,深赛格
000059.SZ,华锦股份
000060.SZ,中金岭南
000061.SZ,农产品
000062.SZ,深圳华强
000063.SZ,中兴通讯
000065.SZ,北方国际
000066.SZ,中国长城
000068.SZ,华控赛格
000069.SZ,华侨城A
000070.SZ,特发信息
000078.SZ,海王生物
000088.SZ,盐田港
000089.SZ,深圳机场
000090.SZ,天健集团
000096.SZ,广聚能源
000099.SZ,中信海直
000100.SZ,TCL科技
000150.SZ,宜华健康
000151.SZ,中成股份
000153.SZ,丰原药业
000155.SZ,川能动力
000156.SZ,华数传媒
000157.SZ,中联重科
000158.SZ,常山北明
000159.SZ,国际实业
000166.SZ,申万宏源
000301.SZ,东方盛虹
000333.SZ,美的集团
000338.SZ,潍柴动力
000400.SZ,许继电气
000401.SZ,冀东水泥
000402.SZ,金融街
000403.SZ,双林生物
000404.SZ,长虹华意
000407.SZ,胜利股份
000408.SZ,*ST藏格
000409.SZ,ST地矿
000410.SZ,*ST沈机
000411.SZ,英特集团
000413.SZ,东旭光电
000415.SZ,渤海租赁
000416.SZ,民生控股
000417.SZ,合肥百货
000419.SZ,通程控股
000420.SZ,吉林化纤
000421.SZ,南京公用
000422.SZ,ST宜化
000423.SZ,东阿阿胶
000425.SZ,徐工机械
000426.SZ,兴业矿业
000428.SZ,华天酒店
000429.SZ,粤高速A
000430.SZ,张家界
000488.SZ,晨鸣纸业
000498.SZ,山东路桥
000501.SZ,鄂武商A
000502.SZ,绿景控股
000503.SZ,国新健康
000504.SZ,*ST生物
000505.SZ,京粮控股
000506.SZ,中润资源
000507.SZ,珠海港
000509.SZ,*ST华塑
000510.SZ,新金路
000513.SZ,丽珠集团
000514.SZ,渝开发
000516.SZ,国际医学
000517.SZ,荣安地产
000518.SZ,四环生物
000519.SZ,中兵红箭
000520.SZ,长航凤凰
000521.SZ,长虹美菱
000523.SZ,广州浪奇
000524.SZ,岭南控股
000525.SZ,红太阳
000526.SZ,紫光学大
000528.SZ,柳工
000529.SZ,广弘控股
000530.SZ,冰山冷热
000531.SZ,穗恒运A
000532.SZ,华金资本
000533.SZ,顺钠股份
000534.SZ,万泽股份
000536.SZ,*ST华映
000537.SZ,广宇发展
000538.SZ,云南白药
000539.SZ,粤电力A
000540.SZ,中天金融
000541.SZ,佛山照明
000543.SZ,皖能电力
000544.SZ,中原环保
000545.SZ,金浦钛业
000546.SZ,金圆股份
000547.SZ,航天发展
000548.SZ,湖南投资
000550.SZ,江铃汽车
000551.SZ,创元科技
000552.SZ,靖远煤电
000553.SZ,安道麦A
000554.SZ,泰山石油
000555.SZ,神州信息
000557.SZ,西部创业
000558.SZ,莱茵体育
000559.SZ,万向钱潮
000560.SZ,我爱我家
000561.SZ,烽火电子
000563.SZ,陕国投A
000564.SZ,供销大集
000565.SZ,渝三峡A
000566.SZ,海南海药
000567.SZ,海德股份
000568.SZ,泸州老窖
000570.SZ,苏常柴A
000571.SZ,*ST大洲
000572.SZ,*ST海马
000573.SZ,粤宏远A
000576.SZ,广东甘化
000581.SZ,威孚高科
000582.SZ,北部湾港
000584.SZ,哈工智能
000585.SZ,*ST东电
000586.SZ,汇源通信
000587.SZ,*ST金洲
000589.SZ,贵州轮胎
000590.SZ,启迪古汉
000591.SZ,太阳能
000592.SZ,平潭发展
000593.SZ,大通燃气
000595.SZ,*ST宝实
000596.SZ,古井贡酒
000597.SZ,东北制药
000598.SZ,兴蓉环境
000599.SZ,青岛双星
000600.SZ,建投能源
000601.SZ,韶能股份
000603.SZ,盛达资源
000605.SZ,渤海股份
000606.SZ,顺利办
000607.SZ,华媒控股
000608.SZ,阳光股份
000609.SZ,中迪投资
000610.SZ,西安旅游
000611.SZ,*ST天首
000612.SZ,焦作万方
000613.SZ,大东海A
000615.SZ,京汉股份
000616.SZ,海航投资
000617.SZ,中油资本
000619.SZ,海螺型材
000620.SZ,新华联
000622.SZ,恒立实业
000623.SZ,吉林敖东
000625.SZ,长安汽车
000626.SZ,远大控股
000627.SZ,天茂集团
000628.SZ,高新发展
000629.SZ,攀钢钒钛
000630.SZ,铜陵有色
000631.SZ,顺发恒业
000632.SZ,三木集团
000633.SZ,合金投资
000635.SZ,英力特
000636.SZ,风华高科
000637.SZ,茂化实华
000638.SZ,万方发展
000639.SZ,西王食品
000650.SZ,仁和药业
000651.SZ,格力电器
000652.SZ,泰达股份
000655.SZ,金岭矿业
000656.SZ,金科股份
000657.SZ,中钨高新
000659.SZ,珠海中富
000661.SZ,长春高新
000662.SZ,天夏智慧
000663.SZ,*ST永林
000665.SZ,湖北广电
000666.SZ,经纬纺机
000667.SZ,美好置业
000668.SZ,荣丰控股
000669.SZ,*ST金鸿
000670.SZ,*ST盈方
000671.SZ,阳光城
000672.SZ,上峰水泥
000673.SZ,*ST当代
000676.SZ,智度股份
000677.SZ,恒天海龙
000678.SZ,襄阳轴承
000679.SZ,*ST友谊
000680.SZ,山推股份
000681.SZ,视觉中国
000682.SZ,东方电子
000683.SZ,远兴能源
000685.SZ,中山公用
000686.SZ,东北证券
000687.SZ,华讯方舟
000688.SZ,国城矿业
000690.SZ,宝新能源
000691.SZ,亚太实业
000692.SZ,惠天热电
000695.SZ,滨海能源
000697.SZ,炼石航空
000698.SZ,沈阳化工
000700.SZ,模塑科技
000701.SZ,厦门信达
000702.SZ,正虹科技
000703.SZ,恒逸石化
000705.SZ,浙江震元
000707.SZ,ST双环
000708.SZ,中信特钢
000709.SZ,河钢股份
000710.SZ,贝瑞基因
000711.SZ,京蓝科技
000712.SZ,锦龙股份
000713.SZ,丰乐种业
000715.SZ,中兴商业
000716.SZ,黑芝麻
000717.SZ,韶钢松山
000718.SZ,苏宁环球
000719.SZ,中原传媒
000720.SZ,新能泰山
000721.SZ,西安饮食
000722.SZ,湖南发展
000723.SZ,美锦能源
000725.SZ,京东方A
000726.SZ,鲁泰A
000727.SZ,*ST东科
000728.SZ,国元证券
000729.SZ,燕京啤酒
000731.SZ,四川美丰
000732.SZ,泰禾集团
000733.SZ,振华科技
000735.SZ,罗牛山
000736.SZ,中交地产
000737.SZ,ST南风
000738.SZ,航发控制
000739.SZ,普洛药业
000750.SZ,国海证券
000751.SZ,锌业股份
000752.SZ,*ST西发
000753.SZ,漳州发展
000755.SZ,山西路桥
000756.SZ,新华制药
000757.SZ,浩物股份
000758.SZ,中色股份
000759.SZ,中百集团
000760.SZ,*ST斯太
000761.SZ,本钢板材
000762.SZ,西藏矿业
000766.SZ,通化金马
000767.SZ,漳泽电力
000768.SZ,中航飞机
000776.SZ,广发证券
000777.SZ,中核科技
000778.SZ,新兴铸管
000779.SZ,甘咨询
000780.SZ,*ST平能
000782.SZ,美达股份
000783.SZ,长江证券
000785.SZ,居然之家
000786.SZ,北新建材
000788.SZ,北大医药
000789.SZ,万年青
000790.SZ,华神科技
000791.SZ,甘肃电投
000792.SZ,*ST盐湖
000793.SZ,华闻集团
000795.SZ,英洛华
000796.SZ,凯撒旅业
000797.SZ,中国武夷
000798.SZ,中水渔业
000799.SZ,酒鬼酒
000800.SZ,一汽解放
000801.SZ,四川九洲
000802.SZ,北京文化
000803.SZ,*ST金宇
000806.SZ,ST银河
000807.SZ,云铝股份
000809.SZ,铁岭新城
000810.SZ,创维数字
000811.SZ,冰轮环境
000812.SZ,陕西金叶
000813.SZ,德展健康
000815.SZ,美利云
000816.SZ,ST慧业
000818.SZ,航锦科技
000819.SZ,岳阳兴长
000820.SZ,*ST节能
000821.SZ,京山轻机
000822.SZ,山东海化
000823.SZ,超声电子
000825.SZ,太钢不锈
000826.SZ,启迪环境
000828.SZ,东莞控股
000829.SZ,天音控股
000830.SZ,鲁西化工
000831.SZ,五矿稀土
000833.SZ,粤桂股份
000835.SZ,长城动漫
000836.SZ,富通鑫茂
000837.SZ,*ST秦机
000838.SZ,财信发展
000839.SZ,中信国安
000848.SZ,承德露露
000850.SZ,华茂股份
000851.SZ,高鸿股份
000852.SZ,石化机械
000856.SZ,冀东装备
000858.SZ,五粮液
000859.SZ,国风塑业
000860.SZ,顺鑫农业
000861.SZ,海印股份
000862.SZ,银星能源
000863.SZ,三湘印象
000868.SZ,*ST安凯
000869.SZ,张裕A
000875.SZ,吉电股份
000876.SZ,新希望
000877.SZ,天山股份
000878.SZ,云南铜业
000880.SZ,潍柴重机
000881.SZ,中广核技
000882.SZ,华联股份
000883.SZ,湖北能源
000885.SZ,城发环境
000886.SZ,海南高速
000887.SZ,中鼎股份
000888.SZ,峨眉山A
000889.SZ,中嘉博创
000890.SZ,*ST胜尔
000892.SZ,欢瑞世纪
000893.SZ,东凌国际
000895.SZ,双汇发展
