代码,名称
600000.SH,浦发银行
600004.SH,白云机场
600006.SH,东风汽车
600007.SH,中国国贸
600008.SH,首创股份
600009.SH,上海机场
600010.SH,包钢股份
600011.SH,华能国际
600012.SH,皖通高速
600015.SH,华夏银行
600016.SH,民生银行
600017.SH,日照港
600018.SH,上港集团
600019.SH,宝钢股份
600020.SH,中原高速
600021.SH,上海电力
600022.SH,山东钢铁
600023.SH,浙能电力
600025.SH,华能水电
600026.SH,中远海能
600027.SH,华电国际
600028.SH,中国石化
600029.SH,南方航空
600030.SH,中信证券
600031.SH,三一重工
600033.SH,福建高速
600035.SH,楚天高速
600036.SH,招商银行
600037.SH,歌华有线
600038.SH,中直股份
600039.SH,四川路桥
600048.SH,保利地产
600050.SH,中国联通
600051.SH,宁波联合
600052.SH,浙江广厦
600053.SH,九鼎投资
600054.SH,黄山旅游
600055.SH,万东医疗
600056.SH,中国医药
600057.SH,厦门象屿
600058.SH,五矿发展
600059.SH,古越龙山
600060.SH,海信视像
600061.SH,国投资本
600062.SH,华润双鹤
600063.SH,皖维高新
600064.SH,南京高科
600066.SH,宇通客车
600067.SH,冠城大通
600068.SH,葛洲坝
600069.SH,*ST银鸽
600070.SH,浙江富润
600071.SH,凤凰光学
600072.SH,中船科技
600073.SH,上海梅林
600074.SH,退市保千
600075.SH,新疆天业
600076.SH,康欣新材
600077.SH,宋都股份
600078.SH,澄星股份
600079.SH,人福医药
600080.SH,金花股份
600081.SH,东风科技
600082.SH,海泰发展
600083.SH,*ST博信
600084.SH,ST中葡
600085.SH,同仁堂
600086.SH,东方金钰
600088.SH,中视传媒
600089.SH,特变电工
600090.SH,同济堂
600091.SH,ST明科
600093.SH,易见股份
600094.SH,大名城
600095.SH,哈高科
600096.SH,云天化
600097.SH,开创国际
600098.SH,广州发展
600099.SH,林海股份
600100.SH,同方股份
600101.SH,明星电力
600103.SH,青山纸业
600104.SH,上汽集团
600105.SH,永鼎股份
600106.SH,重庆路桥
600107.SH,美尔雅
600108.SH,亚盛集团
600109.SH,国金证券
600110.SH,诺德股份
600111.SH,北方稀土
600112.SH,ST天成
600113.SH,浙江东日
600114.SH,东睦股份
600115.SH,东方航空
600116.SH,三峡水利
600117.SH,西宁特钢
600118.SH,中国卫星
600119.SH,ST长投
600120.SH,浙江东方
600121.SH,郑州煤电
600122.SH,*ST宏图
600123.SH,兰花科创
600125.SH,铁龙物流
600126.SH,杭钢股份
600127.SH,金健米业
600128.SH,弘业股份
600129.SH,太极集团
600130.SH,波导股份
600131.SH,国网信通
600132.SH,重庆啤酒
600133.SH,东湖高新
600135.SH,乐凯胶片
600136.SH,当代文体
600137.SH,浪莎股份
600138.SH,中青旅
600139.SH,西部资源
600141.SH,兴发集团
600143.SH,金发科技
600145.SH,*ST新亿
600146.SH,商赢环球
600148.SH,长春一东
600149.SH,ST坊展
600150.SH,中国船舶
600151.SH,航天机电
600152.SH,维科技术
600153.SH,建发股份
600155.SH,华创阳安
600156.SH,华升股份
600157.SH,永泰能源
600158.SH,中体产业
600159.SH,大龙地产
600160.SH,巨化股份
600161.SH,天坛生物
600162.SH,香江控股
600163.SH,中闽能源
600165.SH,新日恒力
600166.SH,福田汽车
600167.SH,联美控股
600168.SH,武汉控股
600169.SH,太原重工
600170.SH,上海建工
600171.SH,上海贝岭
600172.SH,黄河旋风
600173.SH,卧龙地产
600175.SH,*ST美都
600176.SH,中国巨石
600177.SH,雅戈尔
600178.SH,东安动力
600179.SH,*ST安通
600180.SH,瑞茂通
600182.SH,S佳通
600183.SH,生益科技
600184.SH,光电股份
600185.SH,格力地产
600186.SH,莲花健康
600187.SH,国中水务
600188.SH,兖州煤业
600189.SH,吉林森工
600190.SH,锦州港
600191.SH,华资实业
600192.SH,长城电工
600193.SH,ST创兴
600195.SH,中牧股份
600196.SH,复星医药
600197.SH,伊力特
600198.SH,大唐电信
600199.SH,金种子酒
600200.SH,江苏吴中
600201.SH,生物股份
600202.SH,哈空调
600203.SH,福日电子
600206.SH,有研新材
600207.SH,安彩高科
600208.SH,新湖中宝
600209.SH,ST罗顿
600210.SH,紫江企业
600211.SH,西藏药业
600212.SH,*ST江泉
600213.SH,亚星客车
600215.SH,*ST经开
600216.SH,浙江医药
600217.SH,中再资环
600218.SH,全柴动力
600219.SH,南山铝业
600220.SH,江苏阳光
600221.SH,海航控股
600222.SH,太龙药业
600223.SH,鲁商发展
600225.SH,*ST松江
600226.SH,瀚叶股份
600227.SH,圣济堂
600228.SH,ST昌九
600229.SH,城市传媒
600230.SH,沧州大化
600231.SH,凌钢股份
600232.SH,金鹰股份
600233.SH,圆通速递
600234.SH,ST山水
600235.SH,民丰特纸
600236.SH,桂冠电力
600237.SH,铜峰电子
600238.SH,ST椰岛
600239.SH,云南城投
600241.SH,*ST时万
600242.SH,中昌数据
600243.SH,*ST海华
600246.SH,万通地产
600247.SH,ST成城
600248.SH,延长化建
600249.SH,两面针
600250.SH,南纺股份
600251.SH,冠农股份
600252.SH,中恒集团
600255.SH,*ST梦舟
600256.SH,广汇能源
600257.SH,大湖股份
600258.SH,首旅酒店
600259.SH,广晟有色
600260.SH,凯乐科技
600261.SH,阳光照明
600262.SH,北方股份
600265.SH,ST景谷
600266.SH,城建发展
600267.SH,海正药业
600268.SH,国电南自
600269.SH,赣粤高速
600271.SH,航天信息
600272.SH,开开实业
600273.SH,嘉化能源
600275.SH,ST昌鱼
600276.SH,恒瑞医药
600277.SH,亿利洁能
600278.SH,东方创业
600279.SH,重庆港九
600280.SH,*ST中商
600281.SH,太化股份
600282.SH,南钢股份
600283.SH,钱江水利
600284.SH,浦东建设
600285.SH,羚锐制药
600287.SH,江苏舜天
600288.SH,大恒科技
600289.SH,*ST信通
600290.SH,*ST华仪
600291.SH,西水股份
600292.SH,远达环保
600293.SH,三峡新材
600295.SH,鄂尔多斯
600297.SH,广汇汽车
600298.SH,安琪酵母
600299.SH,安迪苏
600300.SH,维维股份
600301.SH,ST南化
600302.SH,标准股份
600303.SH,曙光股份
600305.SH,恒顺醋业
600306.SH,*ST商城
600307.SH,酒钢宏兴
600308.SH,华泰股份
600309.SH,万华化学
600310.SH,桂东电力
600311.SH,*ST荣华
600312.SH,平高电气
600313.SH,农发种业
600315.SH,上海家化
600316.SH,洪都航空
600317.SH,营口港
600318.SH,新力金融
600319.SH,ST亚星
600320.SH,振华重工
600321.SH,正源股份
600322.SH,天房发展
600323.SH,瀚蓝环境
600325.SH,华发股份
600326.SH,西藏天路
600327.SH,大东方
600328.SH,兰太实业
600329.SH,中新药业
600330.SH,天通股份
600331.SH,宏达股份
600332.SH,白云山
600333.SH,长春燃气
600335.SH,国机汽车
600336.SH,澳柯玛
600337.SH,美克家居
600338.SH,西藏珠峰
600339.SH,中油工程
600340.SH,华夏幸福
600343.SH,航天动力
600345.SH,长江通信
600346.SH,恒力石化
600348.SH,阳泉煤业
600350.SH,山东高速
600351.SH,亚宝药业
600352.SH,浙江龙盛
600353.SH,旭光股份
600354.SH,*ST敦种
600355.SH,精伦电子
600356.SH,恒丰纸业
600358.SH,*ST联合
600359.SH,新农开发
600360.SH,华微电子
600361.SH,华联综超
600362.SH,江西铜业
600363.SH,联创光电
600365.SH,通葡股份
600366.SH,宁波韵升
600367.SH,红星发展
600368.SH,五洲交通
600369.SH,西南证券
600370.SH,三房巷
600371.SH,万向德农
600372.SH,中航电子
600373.SH,中文传媒
600375.SH,华菱星马
600376.SH,首开股份
600377.SH,宁沪高速
600378.SH,昊华科技
600379.SH,宝光股份
600380.SH,健康元
600381.SH,青海春天
600382.SH,广东明珠
600383.SH,金地集团
600385.SH,ST金泰
600386.SH,北巴传媒
600387.SH,海越能源
600388.SH,龙净环保
600389.SH,江山股份
600390.SH,五矿资本
600391.SH,航发科技
600392.SH,盛和资源
600393.SH,粤泰股份
600395.SH,盘江股份
600396.SH,金山股份
600397.SH,安源煤业
600398.SH,海澜之家
600399.SH,ST抚钢
600400.SH,红豆股份
600403.SH,大有能源
600405.SH,动力源
600406.SH,国电南瑞
600408.SH,ST安泰
600409.SH,三友化工
600410.SH,华胜天成
600415.SH,小商品城
600416.SH,*ST湘电
600418.SH,江淮汽车
600419.SH,天润乳业
600420.SH,现代制药
600421.SH,ST仰帆
600422.SH,昆药集团
600423.SH,ST柳化
600425.SH,青松建化
600426.SH,华鲁恒升
600428.SH,中远海特
600429.SH,三元股份
600433.SH,冠豪高新
600435.SH,北方导航
600436.SH,片仔癀
600438.SH,通威股份
600439.SH,瑞贝卡
600444.SH,国机通用
